"","Order","Metric","varpart","R2","NA"
"1","artiod","SRic","Shared",0.306401269760733,NA
"2","artiod","SRic","Environment only",0.154647465741313,NA
"3","artiod","SRic","Phylobetadiversity only",0.17944278050481,NA
