"","Order","Metric","varpart","R2","NA"
"1","rodent","FDis","Shared",0.568791455811055,NA
"2","rodent","FDis","Environment only",0.125387016026235,NA
"3","rodent","FDis","Phylobetadiversity only",0.0575646407372131,NA
