"","Order","Metric","varpart","R2","NA"
"1","rodent","SES.FRic","Shared",0.290817020095863,NA
"2","rodent","SES.FRic","Environment only",0.174677084135364,NA
"3","rodent","SES.FRic","Phylobetadiversity only",0.0829600371473757,NA
