"","Order","Metric","varpart","R2","NA"
"1","chirop","FDis","Shared",0.423565991691419,NA
"2","chirop","FDis","Environment only",0.201333921617557,NA
"3","chirop","FDis","Phylobetadiversity only",0.14009765444249,NA
