"","Order","Metric","varpart","R2","NA"
"1","chirop","SES.FRic","Shared",0.222555024432556,NA
"2","chirop","SES.FRic","Environment only",0.0579630992916518,NA
"3","chirop","SES.FRic","Phylobetadiversity only",0.336682180628317,NA
