"","Order","Metric","varpart","R2","NA"
"1","primat","FDis","Shared",0.400130311776886,NA
"2","primat","FDis","Environment only",0.0591917263579826,NA
"3","primat","FDis","Phylobetadiversity only",0.413410103172579,NA
