"","cell_id","MDS1","MDS2","MDS3"
"1","X1",-0.0214659211033044,0.285824484004501,-0.0989078820507551
"2","X2",-0.0292580479340805,0.35912561453936,-0.165768276659944
"3","X3",-0.0269204041971449,0.359154195155459,-0.16159757912677
"4","X4",-0.0198471440339617,0.299811211257167,-0.115228837503184
"5","X5",-0.044569821500372,0.348483359742666,-0.169698162350641
"6","X6",-0.0273624439139135,0.363111632322575,-0.156900811103547
"7","X7",-0.0422688802590154,0.316390380739882,-0.138536091201777
"8","X8",-0.0118359584149046,0.303293172607961,-0.115772459782587
"9","X9",-0.0239544158466801,0.365171588322682,-0.156773992441223
"10","X10",-0.0275811999367277,0.381807315852287,-0.175193229524125
"11","X11",-0.0533963360821899,0.327470133433123,-0.146313820146505
"12","X13",-0.0397523979453431,0.312281727723737,-0.114822339002951
"13","X14",-0.0269091223568096,0.378398149169319,-0.170486627771816
"14","X15",-0.0343362554280533,0.365493277466854,-0.146663055593087
"15","X16",-0.0534291364971739,0.338419805857386,-0.133913898638555
"16","X19",-0.0400579885467424,0.347012995580936,-0.152828754998996
"17","X20",-0.0218367273381393,0.393627714005296,-0.194161773189039
"18","X21",-0.0341556387095992,0.380546554894122,-0.182593430266829
"19","X22",-0.0232521381347572,0.385117569141656,-0.163221090193286
"20","X23",-0.0328857135914973,0.368999883449918,-0.137597112240155
"21","X24",0.0414686663848194,0.039122664036902,0.0419895872899795
"22","X26",-0.0437440185876807,0.345430742088464,-0.161548681810957
"23","X27",-0.00409426894969266,0.403842030644723,-0.194629161421571
"24","X28",-0.0314761458959391,0.383110305527285,-0.194832421277593
"25","X29",-0.0302138870924749,0.3837109186476,-0.181706113055803
"26","X30",-0.0219323762164563,0.388207063227572,-0.139418350851188
"27","X31",-0.0357370078421674,0.375860151939327,-0.113280837318403
"28","X33",-0.0347251951841902,0.319164745424212,-0.197762170671326
"29","X34",-0.00910024132117416,0.402619535104568,-0.19532269244892
"30","X35",-0.0289210580217006,0.385001801381405,-0.176725234025235
"31","X36",-0.0237441042849162,0.385265101576878,-0.128949375359058
"32","X37",-0.0212103784087951,0.39732836685223,-0.13222980027857
"33","X38",-0.0261077203678251,0.401239932002013,-0.119839960766741
"34","X39",-0.034487756191882,0.399169024488136,-0.132385520259605
"35","X40",-0.0390410714968383,0.365310471192808,-0.092130704664251
"36","X41",0.0536090183493242,0.072259606472462,0.094693395123917
"37","X42",0.0607122862693565,0.0538443736704886,0.0760477710519369
"38","X43",0.0607122862689083,0.0538443736687107,0.0760477710543558
"39","X46",-0.0218462165046255,0.386874034070999,-0.208712852573741
"40","X47",-0.0144286461712852,0.382139161137141,-0.197269636533427
"41","X48",-0.02361582190197,0.392289823120171,-0.147328043871696
"42","X49",-0.0201136509475093,0.398132161611151,-0.130156280371659
"43","X50",-0.0283369633680189,0.389288287881756,-0.109867882262742
"44","X51",-0.0335987005520515,0.380756610846172,-0.101583779910561
"45","X52",-0.0534493571085194,0.365001490737686,-0.083734427251149
"46","X53",0.0530798686212982,0.0793793232875481,0.0887332974552473
"47","X54",0.0598348900529691,0.0719907196167174,0.0988764455569374
"48","X55",0.0416914727005466,0.0374080004972864,0.0435388452842685
"49","X56",0.0546103907402908,0.0415736577214829,0.0666536910526064
"50","X57",0.0607122862693565,0.0538443736704887,0.0760477710519368
"51","X58",0.0098112644713668,0.352812603707163,-0.230774081080381
"52","X59",-0.00595673340520572,0.395636768124185,-0.20531832849992
"53","X60",-0.032362113707699,0.377535783546327,-0.134804767853057
"54","X61",-0.0292096985638654,0.396321774862646,-0.116190994289073
"55","X62",-0.0439604342469063,0.389745834688627,-0.104984843471786
"56","X63",-0.0390818303453221,0.384831087626945,-0.0857943433993766
"57","X64",-0.0403715642738461,0.404536857815923,-0.0817479630436278
"58","X65",-0.0397115182908287,0.404657748084186,-0.0813858359182376
"59","X66",-0.0469731701203288,0.384421571925132,-0.0582278233663773
"60","X67",0.347813080840847,0.119399918608681,-0.0685171239069381
"61","X68",0.0526834891045793,0.0402657360279042,0.0497891094882467
"62","X69",0.0526834891045796,0.0402657360279067,0.0497891094882421
"63","X70",0.0729435437554596,0.0791414514335975,0.118825748696592
"64","X71",0.0401302507139578,0.0824107712625508,0.0243402712163636
"65","X72",0.0401302507139578,0.0824107712625507,0.0243402712163639
"66","X73",0.0330268498006364,0.0406518177685239,0.0172835748557862
"67","X74",0.0293539417385565,0.0405866620160327,0.0144479026263852
"68","X75",0.054609962648701,0.0415092486396953,0.0659135252145896
"69","X76",-0.000635919702762721,0.341542125084921,-0.201247646750875
"70","X77",-0.00306328282006455,0.401530398720341,-0.20025655379021
"71","X78",-0.019054182869277,0.389307274452485,-0.154409090899044
"72","X79",-0.0252794372344284,0.396891035389963,-0.136267737605812
"73","X80",-0.0445922700332712,0.390639199930705,-0.0990828305108048
"74","X81",-0.0528434046033553,0.382844912506111,-0.0889806517567741
"75","X82",-0.0403295641044014,0.400808551570768,-0.0721684624821625
"76","X83",-0.113836896255704,0.348389554995064,-0.116233069342791
"77","X84",-0.13499254840031,0.271216292726402,-0.0657552477554555
"78","X85",-0.129270242560265,0.27843033356907,-0.071192962222902
"79","X86",0.346168855679181,0.125185997294393,-0.075175550596439
"80","X87",0.341241835511949,0.127196984735339,-0.0692741498329583
"81","X88",0.268635089551396,0.119992064924153,-0.0543432430890939
"82","X89",0.292030314513828,0.125248367437701,0.017569843197209
"83","X90",0.291345974595971,0.123140487031392,0.0193040956109136
"84","X91",0.053222223580265,0.0419136815539661,0.0681172320765309
"85","X92",0.0434956770850935,0.0727310104645747,0.0519364035919003
"86","X93",0.0485005610611264,0.0661276585619112,0.0481964683329448
"87","X94",0.0606320301653762,0.0628352977215065,0.0609001238727543
"88","X95",0.0547262338559861,0.0420407631478296,0.0620329670651875
"89","X96",0.0540663301470423,0.0837451844815988,0.0791487331465294
"90","X97",0.0423748147619229,0.0936405104974721,0.0248712887487783
"91","X98",0.0722329553159686,0.0833097576877689,0.113615255464207
