"","cell_id","SRic","FRic","SES.FRic","FDis"
"1","X1",8,0.0288564229437537,-0.868672157670804,0.460182912065224
"2","X2",9,0.0611825481345158,-0.578807918600433,0.453517624512274
"3","X3",8,0.0609839436892581,-0.331486747253082,0.467185678279761
"4","X4",8,0.0609839436892581,-0.423712764666586,0.467185678279761
"5","X5",10,0.0668270926622853,-0.777378102452407,0.463071996450974
"6","X6",9,0.0666284882170275,-0.423928178293566,0.468707851135328
"7","X7",8,0.0609839436892581,-0.155329799615578,0.467185678279761
"8","X8",7,0.028657818498496,-0.61604883959717,0.474359392826808
"9","X9",9,0.0327381976405755,-0.910500807659722,0.469239596125902
"10","X10",9,0.0666284882170275,-0.409790337924828,0.468707851135328
"11","X11",8,0.0609839436892581,-0.368983423235913,0.467185678279761
"12","X13",9,0.0200053369359427,-1.23816558341397,0.405432094258827
"13","X14",10,0.0666284882170275,-0.707943039298398,0.463228947974467
"14","X15",9,0.0609839436892581,-0.573178226829692,0.456658224488021
"15","X16",12,0.203841652533587,0.459700013570406,0.531148365370422
"16","X19",11,0.0348540074339408,-1.30512139171643,0.436466493327988
"17","X20",12,0.0727310591323237,-0.993500345683381,0.471214979285365
"18","X21",11,0.123920453008394,-0.015756722930022,0.516667929556963
"19","X22",13,0.207476127095384,0.461846627953942,0.545617903043072
"20","X23",13,0.207476127095384,0.410876515251657,0.545617903043072
"21","X26",11,0.0783628048456913,-0.786945251714876,0.406400584300359
"22","X27",13,0.0767845447975345,-1.10444034526662,0.496213077559687
"23","X28",14,0.207476127095384,0.24783074949098,0.527198081133799
"24","X29",15,0.207476127095384,0.117780829147947,0.53334605628735
"25","X30",15,0.207476127095384,-0.0454315810214006,0.53334605628735
"26","X31",11,0.135983794501923,-0.0180748801098022,0.555399936386747
"27","X33",11,0.0783628048456913,-0.730853934353889,0.406400584300359
"28","X34",14,0.0767845447975345,-1.17722259611084,0.497210309428134
"29","X35",16,0.207476127095384,-0.110379587112729,0.533988819813336
"30","X36",15,0.207476127095384,0.182149517420622,0.53334605628735
"31","X37",13,0.178520523814339,0.259388373971348,0.5322124069197
"32","X38",12,0.178520523814339,0.497356952058089,0.551078582298149
"33","X39",10,0.135983794501923,0.608390002512528,0.563095960465034
"34","X40",7,0.0356528676805182,-0.573458156816124,0.514919105278304
"35","X46",10,0.0501169271999495,-1.01292420424658,0.454655679051018
"36","X47",15,0.178520523814339,-0.221673188214764,0.506114810013822
"37","X48",14,0.178520523814339,-0.125136790941859,0.526697002483827
"38","X49",13,0.178520523814339,0.08247083709948,0.5322124069197
"39","X50",12,0.178520523814339,0.371657710631511,0.551078582298149
"40","X51",10,0.103453083093488,-0.107116687730616,0.512890120024575
"41","X52",9,0.0646632001805697,-0.607288534362663,0.496374684918361
"42","X58",8,0.0501044549429013,-0.579916496851294,0.459785609708572
"43","X59",14,0.178520523814339,-0.00991124514395946,0.523361827715073
"44","X60",13,0.178520523814339,-0.0045207752781082,0.5322124069197
"45","X61",13,0.178520523814339,0.123204221792593,0.5322124069197
"46","X62",12,0.178520523814339,0.345514776076918,0.551078582298149
"47","X63",10,0.103453083093488,-0.175931838294835,0.48884993533987
"48","X64",12,0.0649671900832196,-1.06149739810915,0.489726750278924
"49","X65",10,0.0379708348432444,-1.0684542991231,0.475219299727747
"50","X66",12,0.0669547191644693,-0.951261316057799,0.48794870317394
"51","X67",25,0.113062548555392,-2.19538842816621,0.497973252900965
"52","X76",8,0.0234834041424073,-0.900279848411228,0.469087011492472
"53","X77",12,0.178520523814339,0.340481303581508,0.547247754958845
"54","X78",13,0.178520523814339,0.192687570874565,0.527605200001129
"55","X79",15,0.178520523814339,-0.253584517646406,0.506392588456905
"56","X80",15,0.179216296263075,-0.351038050777836,0.553523847024609
"57","X81",17,0.177578504207433,-0.706795453837229,0.468430695345631
"58","X82",16,0.139087386816781,-0.648921476281855,0.480224456142264
"59","X83",17,0.140781597687525,-0.960627190821977,0.481915994904632
"60","X84",17,0.266384041200912,0.472159643812551,0.522148321678211
"61","X85",20,0.266384041200912,0.111919750889624,0.509028483432963
"62","X86",25,0.113062548555392,-1.79781234423282,0.497973252900965
"63","X87",24,0.113062548555392,-1.73991890978256,0.509853250466305
"64","X88",24,0.113062548555392,-2.12206434696689,0.509853250466305
"65","X89",27,0.11309709043832,-2.19750794285926,0.484777757187965
"66","X90",27,0.11309709043832,-2.57236960732825,0.484777757187965
"67","X105",7,0.0208293648014754,-0.747484151141437,0.437278865390762
"68","X106",12,0.178520523814339,0.39912661092536,0.547247754958845
"69","X107",15,0.178520523814339,-0.299229548356687,0.504632082657795
"70","X108",16,0.178520523814339,-0.395584906915302,0.487265551052199
"71","X109",18,0.199736110446023,-0.609193162118983,0.51437817389828
"72","X110",18,0.161244993055371,-0.802912789199964,0.495629281152153
"73","X111",18,0.140725178872423,-1.06434516157073,0.500365228346993
"74","X112",19,0.264511242684529,0.0204612090964209,0.50579524593926
"75","X113",19,0.264511242684529,0.341103241812376,0.50579524593926
"76","X114",20,0.275893401744927,0.0182675226518799,0.509301797199081
"77","X115",24,0.112992966397857,-2.13176288843442,0.494801629248792
"78","X116",22,0.112992966397857,-1.75831011763232,0.500852503323669
"79","X117",23,0.112992966397857,-1.75768523841316,0.507916595990856
"80","X118",25,0.113027508280785,-1.93616723636002,0.492591441171336
