"","cell_id","MDS1","MDS2","MDS3"
"1","X67",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"2","X85",0.0971728576204807,0.0039372689057033,0.00283450232563696
"3","X86",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"4","X87",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"5","X88",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"6","X89",-0.0278421224458121,0.0230387355563286,-0.0127929152101693
"7","X90",-0.0278421224458121,0.0230387355563286,-0.0127929152101693
"8","X111",0.0989738525788314,0.00249207275448364,0.00282362562098807
"9","X112",0.0989738525788314,0.00249207275448364,0.00282362562098807
"10","X113",0.0987800562816697,0.0126394878298571,0.00848173970257094
"11","X114",0.0971728576204807,0.00393726890570331,0.00283450232563696
"12","X115",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"13","X116",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"14","X117",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"15","X118",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"16","X119",-0.0278421224458121,0.0230387355563286,-0.0127929152101693
"17","X120",-0.0278421224458121,0.0230387355563286,-0.0127929152101693
"18","X146",0.0989738525788314,0.00249207275448364,0.00282362562098807
"19","X147",0.0989738525788314,0.00249207275448364,0.00282362562098807
"20","X148",0.114758527014919,0.0295721956297581,0.015342512820282
"21","X149",0.114758527003355,0.0295721956563691,0.0153425129288454
"22","X150",0.115867816350591,0.0285118720974838,0.00814649869540995
"23","X151",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"24","X152",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"25","X153",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"26","X154",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"27","X155",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"28","X156",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"29","X157",-0.0278421224458121,0.0230387355563286,-0.0127929152101693
"30","X158",-0.0591032857070101,0.031165200416232,-0.0277164445707287
"31","X184",0.126584026850306,-0.0109423551311694,-0.0131230047357317
"32","X185",0.12058820649232,0.000894784310862488,0.00457303175459142
"33","X186",0.134007937116494,0.0375638908787229,0.0434954700859574
"34","X187",0.138973903623454,0.0206758492797395,0.0155492207023155
"35","X188",0.138973903623454,0.0206758492797395,0.0155492207023155
"36","X189",0.138973903623454,0.0206758492797395,0.0155492207023155
"37","X190",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"38","X191",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"39","X192",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"40","X193",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"41","X194",-0.0232353172936159,0.02296781396628,-0.00458663953515745
"42","X195",-0.0232353172936159,0.02296781396628,-0.00458663953515744
"43","X196",-0.0654196788095144,0.0235753059494286,-0.0137640906840005
"44","X197",-0.0591617381175304,0.047839306980281,-0.0187696268325216
"45","X222",0.0989738525788314,0.00249207275448364,0.00282362562098807
"46","X223",0.126584026850306,-0.0109423551311694,-0.0131230047357317
"47","X224",0.126584026850306,-0.0109423551311694,-0.0131230047357317
"48","X225",0.134007937116494,0.0375638908787229,0.0434954700859574
"49","X226",0.138973903623454,0.0206758492797395,0.0155492207023155
"50","X227",0.138973903623454,0.0206758492797395,0.0155492207023155
"51","X228",0.132606224997774,0.0439872066851862,0.0597985010379419
"52","X229",-0.0231476978011514,0.0106006227226793,-0.00426616522007853
"53","X230",-0.0231476978011514,0.0106006227226793,-0.00426616522007853
"54","X231",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"55","X232",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"56","X233",-0.0232353172936159,0.02296781396628,-0.00458663953515743
"57","X234",-0.0654196788095144,0.0235753059494286,-0.0137640906840005
"58","X235",-0.0637904513161173,0.0308363139312687,-0.0171449051876623
"59","X236",-0.0637904513161173,0.0308363139312687,-0.0171449051876623
"60","X237",-0.0591617381175304,0.047839306980281,-0.0187696268325216
"61","X238",-0.0576257675093478,0.0429655194518161,-0.0329613748847178
"62","X260",0.0987628020056904,-0.00600352929658574,-0.00628322997112335
"63","X262",0.129489167966888,-0.0392436927294796,-0.0332888372696991
"64","X263",0.129489167967775,-0.0392436927215382,-0.0332888372758045
"65","X264",0.139957695797713,-0.0321322761198229,-0.0323720295705648
"66","X265",0.134007937116494,0.0375638908787229,0.0434954700859574
"67","X266",0.134007937116494,0.0375638908787229,0.0434954700859574
"68","X267",0.138973903623454,0.0206758492797395,0.0155492207023155
"69","X268",0.132367712290215,0.0424284534668911,0.0613993504135678
"70","X269",0.130365063200587,0.0382230369974301,0.0690464168795008
"71","X270",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"72","X271",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"73","X272",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"74","X273",-0.0231476978011514,0.0106006227226793,-0.00426616522007852
"75","X274",-0.0194256094859941,0.0235133266150659,-0.000636165275191318
"76","X275",-0.0654196788095144,0.0235753059494286,-0.0137640906840005
"77","X276",-0.0637904513161173,0.0308363139312687,-0.0171449051876623
"78","X277",-0.0591617381175304,0.047839306980281,-0.0187696268325216
"79","X278",-0.0591617381175304,0.047839306980281,-0.0187696268325216
"80","X279",-0.0576257675093478,0.0429655194518161,-0.0329613748847178
"81","X280",-0.0539072711787754,0.0432928173181499,-0.0381661282803578
"82","X281",-0.846620907373661,-0.0221746578860209,-0.0430105009559947
