"","cell_id","clim_pca_1","clim_pca_2","clim_pca_3","clim_pca_4"
"843","X843",4.97762723780152,3.54995179791034,-1.06373214965431,0.152094125668739
"844","X844",5.04875198320554,3.17542098998657,-0.70139266471533,-0.0326215982975511
"845","X845",4.67389231385113,2.37224275162161,-0.54475955837743,-0.522409217738755
"846","X846",4.58474259930535,2.04269711410301,-0.538785705858923,-0.703792658607449
"847","X847",5.06330809285914,3.01776338274229,-0.478987028681659,-0.264568164036974
"848","X848",5.32892611934933,3.34154723345243,-0.239451224717607,-0.364183654822604
"849","X849",5.02679687498906,2.7622685091523,-0.176055784862631,-0.560189856319497
"850","X850",4.82182158421526,1.6682843468405,0.249646785247636,-1.13584707027224
"851","X851",3.595934473627,0.926638237197276,1.93676337783848,-0.782125565139589
"852","X852",3.51672851600677,1.28010228710411,1.58369020100435,-0.884618943442672
"853","X853",4.01419274339296,1.65706962542109,0.57192663122736,-0.439156682463173
"854","X854",4.01231214893934,1.77438686017471,-0.387668662301854,-0.322000819064972
"855","X855",4.24777127983435,2.56378864943248,-0.732720504954405,-0.129318041101156
"856","X856",4.32618466379349,3.12755595036639,-0.949967137402689,0.0671138750482906
"857","X857",4.13762290432541,2.79596310795597,-0.968234449833675,-0.0794889340058578
"858","X858",3.97414767901861,2.33644546765787,-0.639709845633823,-0.315090363507059
"859","X859",4.05257990868958,2.83246012588752,-0.467610530253487,-0.298050912426624
"860","X860",2.89003687511575,2.1426947277169,-0.336438718247497,-1.31405272939097
"861","X861",2.72556987053856,0.52007967939255,0.079172524023231,-1.60173230528161
"862","X862",3.04784145124774,0.858531129996441,0.00974778137954638,-1.13054644671364
"863","X863",2.37355381888681,0.320335431531498,-0.0249870515611872,-1.09522557712159
"864","X864",2.16173606347408,-0.965215780837795,0.614143768707104,-1.34341693446837
"865","X865",2.92845516660213,-0.535920022604309,-0.0458021981263289,-0.849044955458287
"866","X866",4.9265811465984,5.13938802556977,-0.929451004936478,0.23955329742316
"867","X867",5.33935406279322,4.77225054661667,-1.18486959387592,0.402768866709637
"868","X868",5.51773409542667,5.10468666986776,-1.50887435414325,0.845049977979073
"869","X869",5.36450757515843,4.56644171675355,-1.42698404379594,0.852534091080724
"870","X870",5.23641443973071,4.22216689508215,-1.24322165354788,0.618748225231066
"871","X871",4.46508372337411,4.00018479510772,-1.02133168004153,-0.051134400507272
"872","X872",5.39091496098029,5.50287769124878,-1.4452380795728,0.95725567091996
"873","X873",5.63056885387572,6.1353666661359,-1.99520257950712,1.3086077267856
"874","X874",5.32197605863309,5.26146365664603,-1.71725255973272,0.986818158424769
"875","X875",3.14848603476433,2.95768912570396,0.94904494350724,-1.1536810601184
"876","X876",5.21516477093678,6.19270982306102,-1.48246147646171,1.02390373757523
"877","X877",5.1610088153818,4.87235863752844,-1.44091615073266,0.826413729591123
"878","X878",5.08477318088442,4.64871604084569,-1.57184878722126,0.79123668020535
"879","X879",5.31118086916355,5.41113997462766,-1.74733365279113,1.16989249790683
"880","X880",5.44161008780631,5.85868726114632,-1.73462252991405,1.37304521135918
"881","X881",5.22997391865727,4.96879622781649,-1.77400663229746,1.04310305874791
"882","X882",5.21581925050763,4.4523164151517,-1.66300874842007,0.792489158624889
"883","X883",5.230109550531,4.39765935089503,-1.42281438860836,0.616615935461692
"884","X884",5.14715915689536,4.16101242772443,-1.4235580156973,0.483520538035808
"885","X885",4.96234693365726,3.69692593070502,-1.17110643486112,0.272979976867162
"886","X886",5.16290155505362,3.9101707806233,-0.881908343929917,0.38993007753453
"887","X887",4.85954207440489,3.5762408495979,-0.808874175083609,0.0106007424309303
"888","X888",4.71953953303504,2.76767404361081,-0.693912974804313,-0.385724037127138
"889","X889",5.43840830931763,3.24884260409759,0.0484012788226602,-0.604448983185551
"890","X890",3.94034111283462,1.29622211892154,1.8397370516367,-0.709616315677619
"891","X891",3.72214010529091,1.3815638889135,0.832904322765367,-0.685510451610171
"892","X892",3.93521800614397,1.69562964134484,0.144080496046842,-0.359542580271525
"893","X893",4.13831287403862,2.43483369495576,-0.838524810328515,-0.12424471274493
"894","X894",4.39089057436243,3.34718391233273,-1.51878158946525,0.35237487355961
"895","X895",4.58060356977213,3.81319048274082,-1.65060061367228,0.5553058588549
"896","X896",4.48940286637498,3.66248050157944,-1.61283235418248,0.44441140758182
"897","X897",4.29155524944361,3.29850491601042,-1.42630073149097,0.152145198804582
"898","X898",4.05676854424183,3.27183321310208,-1.40490259991968,-0.0456560252771062
"899","X899",3.15457352195181,2.52657921742728,-1.40964972557193,-0.763247229590185
"900","X900",2.82821719884769,1.16580446998183,-0.566232126083239,-1.20018570440421
"901","X901",3.67149418333386,2.69614040488904,-0.339626693153256,-0.779925343466096
"902","X902",2.8537199493249,2.02345164334929,-0.844871035559278,-0.65322068715635
"903","X903",2.36056847840192,1.02705771515677,0.303333300549078,-1.07036751873583
"904","X904",2.85750963941415,-1.74421089547917,0.799664866511518,-1.29352272003653
"905","X905",2.94073413172099,-1.32613810976886,-0.682702037426859,-1.14816653437688
"906","X906",4.87219312216666,4.73771178473003,-1.21701750647131,0.354963733256034
"907","X907",5.08460427122494,4.27942615262086,-1.57466416824387,0.403194765502557
"908","X908",5.583207434232,5.34739389962555,-1.48952668242714,0.949540046537726
"909","X909",5.78884314712508,6.06763228107742,-1.51500023215961,1.39290797338379
"910","X910",5.73051664263672,5.35113210914522,-1.27043173932695,1.11579863508037
"911","X911",5.17203227082407,3.93702999126386,-1.60302070397608,0.564118645953214
"912","X912",4.98167455192239,6.07378124860768,-1.60799463707403,0.668500479158103
"913","X913",4.22565149592565,3.76703364903652,-0.186401538283155,-0.259195373948224
"914","X914",4.06859261665757,5.43969730772531,-1.25339717531816,-0.0529441053991577
"915","X915",5.10245835447265,4.46272052586524,-1.05899156770232,0.503087639755812
"916","X916",4.88620292496284,3.63950909884881,-0.989429013707968,0.229456191303683
"917","X917",5.26058580800109,4.78496197286208,-1.31857758283645,0.73110072339834
"918","X918",5.66054912530584,5.97631577524182,-1.59355895162317,1.39386327575569
"919","X919",5.65132782431917,5.40489190558262,-1.60605610155068,1.35844580099265
"920","X920",5.23848865955421,4.5802605485541,-1.43038431443168,0.763187935018325
"921","X921",5.10219178427536,3.64104809658284,-1.14186416870062,0.293742244904665
"922","X922",5.05436607411796,3.13618374085316,-0.790876569811038,-0.0345455987793007
