"","cell_id","SRic","FRic","SES.FRic","FDis"
"1","X67",5,0.00031248654583882,-0.549486175815707,0.158058019442038
"2","X86",4,0.000273309945422573,-0.416270284496093,0.164920548693448
"3","X88",4,0.000273309945422573,-0.305668982804565,0.164920548693448
"4","X89",6,0.0141384322675481,0.0745829702935991,0.302337689591319
"5","X90",7,0.0142261938087058,-0.163938613399924,0.285201359863549
"6","X115",4,0.000273309945422573,-0.38336246559599,0.164920548693448
"7","X119",8,0.0178024226140055,-0.0917924134322951,0.270534808820024
"8","X120",7,0.0142261938087058,-0.284581976155717,0.285201359863549
"9","X151",4,0.000273309945422573,-0.457581537276432,0.164920548693448
"10","X155",4,0.00566367998904742,1.95172980896807,0.356780445680123
"11","X156",6,0.0135200206245532,0.151940668208146,0.292667217722944
"12","X157",9,0.0180952514173103,-0.274391846898267,0.249911949347473
"13","X158",11,0.00476090048499973,-0.814099986604259,0.167093890275082
"14","X194",5,0.0063390155215696,-0.0813390498139623,0.30353457284804
"15","X195",6,0.00719191253695122,-0.320158252571493,0.25912247831291
"16","X196",9,0.0186120582256226,-0.213935010759286,0.252733488371842
"17","X197",13,0.00486433903493264,-0.870407378243771,0.164590128076866
"18","X234",6,0.00269402988478442,-0.563459707654081,0.240707120364107
"19","X235",10,0.0139264405305024,-0.581310993355623,0.211610359622398
"20","X236",12,0.0150971083926578,-0.681625592763813,0.212082032049111
"21","X237",11,0.00370807516944278,-0.83705013407591,0.154883731498454
"22","X238",7,0.0015136224818083,-0.561660337670543,0.110912578001417
"23","X276",8,0.00829115412752656,-0.45453061936666,0.220033182622006
"24","X277",11,0.0140279686458622,-0.548599135959011,0.216814798047728
"25","X278",11,0.00370807516944278,-0.807803800831392,0.154883731498454
"26","X279",7,0.00145431714538774,-0.758500047392584,0.145523452011306
"27","X280",4,8.89131102001799e-06,-0.342596907618771,0.09743198521103
"28","X322",5,0.0077728455865983,0.0588492464017233,0.295272547521632
"29","X323",10,0.0139398648176875,-0.538311487774631,0.211696663814834
"30","X324",10,0.0139398648176875,-0.530620054454043,0.211696663814834
