"","cell_id","MDS1","MDS2"
"1","X1",-0.272842890667966,-0.129541458104369
"2","X2",-0.272842890668026,-0.129541458103955
"3","X3",-0.272842890668028,-0.129541458103942
"4","X4",-0.272842890668026,-0.129541458103953
"5","X5",-0.302570729726098,-0.152835748499731
"6","X6",-0.272842890668027,-0.129541458103947
"7","X7",-0.440565116082074,-0.290041705882059
"8","X8",-0.440565116082429,-0.290041705881643
"9","X9",-0.302570729726098,-0.152835748499731
"10","X10",-0.302570729726098,-0.152835748499731
"11","X11",-0.440565116067213,-0.290041705899912
"12","X13",-0.0631852112634336,0.0380770514695423
"13","X14",-0.302570729726098,-0.152835748499731
"14","X15",-0.440565116080834,-0.290041705883571
"15","X16",-0.274951368022217,-0.126396776189291
"16","X19",-0.0631852112634336,0.0380770514695423
"17","X20",-0.302570729726098,-0.152835748499731
"18","X21",-0.274951368022217,-0.126396776189291
"19","X22",-0.274951368022217,-0.126396776189291
"20","X23",-0.274951368022217,-0.126396776189291
"21","X26",-0.0631852112634336,0.0380770514695423
"22","X27",-0.302570729726098,-0.152835748499731
"23","X28",-0.274951368022217,-0.126396776189291
"24","X29",-0.306709765408357,-0.143766408385369
"25","X30",-0.306709765408358,-0.143766408385369
"26","X31",-0.306709765408357,-0.143766408385369
"27","X33",-0.0631852112634336,0.0380770514695423
"28","X34",-0.325783933142708,-0.168405546791874
"29","X35",-0.306709765408358,-0.143766408385369
"30","X36",-0.306709765408357,-0.143766408385369
"31","X37",-0.306709765408358,-0.143766408385369
"32","X38",-0.306709765408358,-0.143766408385369
"33","X39",-0.306709765408357,-0.143766408385369
"34","X40",-0.0354004208242521,0.0163504440899376
"35","X46",-0.302570729726098,-0.152835748499731
"36","X47",-0.306709765408358,-0.143766408385369
"37","X48",-0.306709765408357,-0.143766408385369
"38","X49",-0.306709765408358,-0.143766408385369
"39","X50",-0.306709765408358,-0.143766408385369
"40","X51",-0.0354004208242521,0.0163504440899376
"41","X52",-0.035400420824252,0.0163504440899376
"42","X58",-0.272842890668022,-0.129541458103983
"43","X59",-0.306709765408357,-0.143766408385369
"44","X60",-0.294425019887923,-0.0528198801893228
"45","X61",-0.187807468562283,0.195812851315896
"46","X62",-0.187807468562282,0.195812851315898
"47","X63",-0.206860895777477,0.219907839464977
"48","X64",-0.33767290487079,-0.0594856331416369
"49","X65",-0.337672904870765,-0.059485633141529
"50","X66",-0.337672904870796,-0.0594856331416636
"51","X67",0.336473225885001,-0.129622770780313
"52","X76",-0.440565116082535,-0.290041705881509
"53","X77",-0.333248698429665,-0.148242213792065
"54","X78",-0.318541088843615,-0.0696896129239851
"55","X79",-0.211655318263363,0.226937819982596
"56","X80",-0.187807468562283,0.195812851315898
"57","X81",-0.388317822806446,-0.063555217762131
"58","X82",-0.399085334378374,0.0365350925132321
"59","X83",-0.371591512242042,-0.0866862204851525
"60","X84",-0.355050629450778,-0.0736583327435046
"61","X85",-0.399079405329071,0.0365713320997645
"62","X86",0.328510367929619,-0.1383430053395
"63","X87",0.303372531391652,-0.195528771534746
"64","X88",0.318944093043895,-0.166853154583685
"65","X89",0.322056956290367,-0.160080732249645
"66","X90",0.333538586387537,-0.14028070992665
"67","X105",-0.440565116070137,-0.290041705896394
"68","X106",-0.340829732656283,-0.174066456677825
"69","X107",-0.333589522866075,-0.0838447392462593
"70","X108",-0.211655318262371,0.226937819983668
"71","X109",-0.36875217626644,-0.0650466749207243
"72","X110",-0.400163139238793,0.0354051200803288
"73","X111",-0.388317822789524,-0.0635552178337749
"74","X112",-0.399085335628278,0.0365350848696608
"75","X113",-0.388317822790848,-0.063555217828171
"76","X114",-0.399233977283113,0.0356116037884912
"77","X115",0.33242606956115,-0.374426706212869
"78","X116",0.337924773795421,-0.358596040975897
"79","X117",0.306308658631157,-0.187703333218659
"80","X118",0.307932127697384,-0.186990219472341
"81","X119",0.339960080664525,-0.122350043043839
"82","X120",0.330171464943057,-0.136310212247964
"83","X140",-0.44056511607996,-0.290041705884596
"84","X141",-0.315655438798019,-0.165741429602233
"85","X142",-0.321110559153367,-0.0881933586630659
"86","X143",-0.353727704825342,0.0550092366120817
"87","X144",-0.368752176262532,-0.0650466749857846
"88","X145",-0.387706100417794,-0.0684856646879594
"89","X146",-0.388317822795499,-0.0635552178084761
"90","X147",-0.399081515377078,0.0365584392366937
"91","X148",-0.388317822794911,-0.0635552178109668
"92","X149",-0.403279177697785,0.0178483627194647
"93","X150",-0.390556809610536,-0.0654745696494484
"94","X151",0.320662224508904,-0.371429831594117
"95","X152",0.330752197605519,-0.386203474446534
"96","X153",0.332132740793583,-0.378360904807706
"97","X154",0.317439547246466,-0.217582573621862
"98","X155",0.318233444698254,-0.217079468209213
"99","X156",0.307443581025908,-0.18869232137337
"100","X157",0.332944709786634,-0.140945618481546
"101","X158",0.335846909061369,-0.137524683319433
"102","X179",-0.292541283280712,-0.144959765637688
"103","X180",-0.304906200467755,-0.0545273702603414
"104","X181",-0.375884464264274,-0.0819925079094854
"105","X182",-0.368752176266429,-0.0650466749209067
"106","X183",-0.387697848664714,-0.0685273242777
"107","X184",-0.392607132237897,-0.052361742242283
"108","X185",-0.392607154035614,-0.0523616494400527
"109","X186",-0.393679499548414,-0.0520102167210174
"110","X187",-0.393679872066724,-0.0520084054476597
"111","X188",-0.398818821121187,-0.0432579634004274
"112","X189",-0.396794749791468,-0.0469682778242808
"113","X190",0.315790251634734,-0.385289747144152
"114","X191",0.316435240623783,-0.385013366721136
"115","X192",0.318027436160036,-0.227863239327018
"116","X193",0.313522574481553,-0.21923714368048
"117","X194",0.313977400691153,-0.219225932363464
"118","X195",0.318657891875262,-0.218738912702622
"119","X196",0.331759522225222,-0.140849431711219
"120","X197",0.328907620589846,-0.15639209868605
"121","X218",-0.292541283280712,-0.144959765637687
"122","X219",-0.315655438798019,-0.165741429602233
"123","X220",-0.385230860364998,0.0508772315258571
"124","X221",-0.368752176262525,-0.0650466749858813
"125","X222",-0.388842807383677,-0.0586700974273601
"126","X223",-0.39195083737131,-0.0560225839293554
"127","X224",-0.393679871870814,-0.0520084064049307
"128","X225",-0.393679393036277,-0.0520107475653015
"129","X226",-0.398072008562755,-0.0403685429530243
"130","X227",-0.396794720313736,-0.0469683172061561
"131","X228",-0.39131516441075,0.0215864436823928
"132","X229",0.23595909252073,-0.304041749691443
"133","X230",0.316327556260258,-0.380692356733645
"134","X231",0.291199680559191,-0.167029896823158
"135","X232",0.318504657495854,-0.225746426628457
"136","X233",0.316097735733394,-0.212820464016783
"137","X234",0.323253100222294,-0.212630726461264
"138","X235",0.322869950407232,-0.209086143386935
"139","X236",0.311033754297929,-0.188361228951706
