"","cell_id","MDS1","MDS2"
"1","X67",-0.0832618374510908,-0.390938235084231
"2","X86",-0.0672683456736632,-0.350233993331929
"3","X87",-0.0573104326059712,-0.267614780316777
"4","X88",-0.0672683456736632,-0.350233993331929
"5","X89",-0.357345160608362,0.112158283962663
"6","X90",-0.353421539365584,0.144317907800324
"7","X115",-0.0672683456736632,-0.350233993331929
"8","X116",-0.0752025693653855,-0.177300447457048
"9","X117",-0.0752025693653856,-0.177300447457048
"10","X118",-0.24660188357763,0.0307736276727538
"11","X119",-0.354852410576904,0.148716556109558
"12","X120",-0.353421539365584,0.144317907800324
"13","X151",-0.0672683456736632,-0.350233993331929
"14","X152",-0.0573104326059712,-0.267614780316777
"15","X153",-0.195222605332531,0.0230783898743776
"16","X154",-0.195222605332531,0.0230783898743776
"17","X155",-0.278516266232951,0.0473105944700856
"18","X156",-0.359076483382347,0.0739270259143672
"19","X157",-0.375344932916311,0.131888324260903
"20","X158",-0.00825824816046659,-0.52660333795777
"21","X190",-0.0459010860694829,-0.0950252040232208
"22","X191",-0.0752025693653856,-0.177300447457048
"23","X192",-0.244300023153558,0.0231465062626815
"24","X193",-0.195222605332531,0.0230783898743775
"25","X194",-0.320731775215317,0.0632212911941787
"26","X195",-0.328747346816647,0.0727897695157274
"27","X196",-0.373823877399845,0.14230524106556
"28","X197",-0.0052057774274264,-0.527163929391935
"29","X229",-0.0459010860694829,-0.0950252040232208
"30","X230",-0.0459010860694829,-0.0950252040232208
"31","X231",-0.0811442131326564,-0.174631266065119
"32","X232",-0.0479940970018999,-0.102615354732931
"33","X233",-0.197044654721552,0.0139410012184402
"34","X234",-0.327319936465287,0.104599005521691
"35","X235",-0.386555712742734,0.0813858969616202
"36","X236",-0.388262506635809,0.0850534920618899
"37","X237",-0.0464674287139718,-0.510279819032239
"38","X238",-0.11445594407673,-0.444661838082432
"39","X270",-0.0459010860694829,-0.0950252040232208
"40","X271",-0.243900855597275,0.0185134708388334
"41","X272",-0.243900855597275,0.0185134708388334
"42","X273",-0.0479940970018999,-0.102615354732931
"43","X274",-0.0479940970018999,-0.102615354732931
"44","X275",-0.243900855597275,0.0185134708388334
"45","X276",-0.363373483344121,0.0695758278463916
"46","X277",-0.386792959633407,0.0833834947244756
"47","X278",-0.0464674287139718,-0.510279819032239
"48","X279",-0.128036632769368,-0.439834419836506
"49","X280",-0.15321326746513,-0.300146953523187
"50","X281",-0.0364355676836843,-0.0940742982014471
"51","X282",-0.0364355676836843,-0.0940742982014471
"52","X316",-0.198028436282642,0.0196609342957387
"53","X317",-0.243900855597275,0.0185134708388334
"54","X318",-0.243900855597275,0.0185134708388334
"55","X319",-0.107360022262064,-0.161730942826043
"56","X320",-0.107360022262064,-0.161730942826043
"57","X321",-0.107360022262064,-0.161730942826043
"58","X322",-0.317468498363106,0.0470949234247776
"59","X323",-0.386823789574766,0.0800386523047324
"60","X324",-0.386823789574766,0.0800386523047324
"61","X325",-0.2135937778455,-0.330776505263263
"62","X326",-0.122312803857472,-0.238246175807648
"63","X327",-0.0364355676836843,-0.0940742982014471
"64","X328",-0.0364355676836843,-0.0940742982014471
"65","X362",-0.245487171451191,0.0125645382315354
"66","X363",-0.275652368479384,0.0374735353182774
"67","X364",-0.292642870544671,-0.0279427110264678
"68","X365",-0.142248682305994,-0.239215824940448
"69","X366",-0.254150241198572,-0.306348560346209
"70","X367",-0.293694822602023,-0.031473654933688
"71","X368",-0.321875261792259,-0.0570255702001229
"72","X369",-0.36801443305989,-0.0504404187798139
"73","X370",-0.370872522687082,0.0865049399448147
"74","X371",-0.276860346647478,-0.426542231051485
"75","X372",-0.0364355676836843,-0.0940742982014471
"76","X373",-0.0364355676836843,-0.0940742982014471
"77","X405",-0.198028436282642,0.0196609342957387
"78","X406",-0.245487171451191,0.0125645382315354
"79","X407",-0.262282637939906,-0.00514401702291706
"80","X408",-0.142248682305994,-0.239215824940448
"81","X409",-0.193211516358732,-0.283276593904391
"82","X410",-0.254150241198572,-0.306348560346209
"83","X411",-0.321875261792259,-0.0570255702001229
"84","X412",-0.321875261792259,-0.057025570200123
"85","X413",-0.343516549243969,-0.0542686643170086
"86","X414",-0.365670929656367,-0.0706822362297136
"87","X415",-0.268642740416866,-0.433454092882278
"88","X416",-0.272569878646332,-0.41532228676452
"89","X417",-0.0364355676836843,-0.0940742982014471
"90","X418",-0.0364355676836843,-0.0940742982014471
"91","X419",-0.0364355676836843,-0.0940742982014471
"92","X448",-0.279516616131226,0.0523962128480693
"93","X449",-0.262282637939906,-0.00514401702291706
"94","X450",-0.262282637939906,-0.00514401702291706
"95","X451",-0.193211516358732,-0.283276593904391
"96","X452",-0.193211516358732,-0.283276593904391
"97","X453",-0.269623973037128,-0.333741078388893
"98","X454",-0.321875261792259,-0.057025570200123
"99","X455",-0.321875261792259,-0.057025570200123
"100","X456",-0.27329007804579,-0.378947983224004
"101","X457",-0.269693964205734,-0.4324384754419
"102","X458",-0.268466269262577,-0.434023597973645
"103","X459",-0.285773142936327,-0.403865474122911
"104","X460",-0.196705209316795,-0.276899931679807
"105","X461",-0.0364355676836843,-0.0940742982014471
"106","X462",-0.0364355676836843,-0.0940742982014471
"107","X463",-0.0364355676836843,-0.0940742982014471
"108","X494",-0.295459050732797,-0.0177662945772365
"109","X495",-0.300616002428275,-0.0105935445437188
"110","X496",-0.262073034867986,-0.00858590362851974
"111","X497",-0.266719820710064,-0.336709499377002
"112","X498",-0.260822788963545,-0.386441912519014
"113","X499",-0.261504511975366,-0.384704040597221
"114","X500",-0.261504511975366,-0.384704040597221
"115","X501",-0.261516775540391,-0.414141663922336
"116","X502",-0.266072186269887,-0.425482771287112
"117","X503",-0.27821836480059,-0.408203290329835
"118","X504",-0.274822396382034,-0.378450201147976
"119","X505",-0.325358905965648,-0.0704799665565024
"120","X506",-0.196705209316795,-0.276899931679807
"121","X507",-0.131510794293019,-0.244434174790549
"122","X508",-0.0364355676836843,-0.0940742982014471
"123","X509",-0.0364355676836843,-0.0940742982014471
"124","X537",-0.267018667675929,0.00932408427595128
"125","X538",-0.29244890284323,-0.0231542081385217
"126","X539",-0.239375008631077,-0.360837015609382
"127","X540",-0.240308545675855,-0.359678525009928
"128","X541",-0.228670877737351,-0.410939517040154
"129","X542",-0.256481021190042,-0.42973074154661
