"","cell_id","SRic","FRic","SES.FRic","FDis"
"1","X1",10,0.00184567233528676,-1.11453626825388,0.360061902339575
"2","X2",20,0.00478903491125063,-1.78560847324303,0.339831153153914
"3","X3",19,0.00473996964384452,-1.51879681532886,0.348754176998047
"4","X4",11,0.00212474904517676,-1.21239733453267,0.367191086100603
"5","X5",16,0.00451812082540332,-1.70571654606753,0.352394127433907
"6","X6",17,0.00545324753102147,-1.72439174502198,0.347696519302367
"7","X7",13,0.0106458391626982,-0.918035109912892,0.361727599173434
"8","X8",11,0.00733219431914588,-0.899023708059771,0.355284883922063
"9","X9",16,0.00478006219798647,-1.56578432402927,0.341511907989131
"10","X10",22,0.00611424203958211,-1.78095307431032,0.347767732843414
"11","X11",14,0.00990510163641921,-1.04105155234524,0.388131655672116
"12","X13",12,0.00439708768676279,-1.08063301684759,0.330913298201982
"13","X14",21,0.0158116913953228,-1.33881991740824,0.370304057360377
"14","X15",18,0.0143029163222995,-1.25861737008437,0.356073750445589
"15","X16",13,0.0122495868189568,-0.887564860028419,0.362609293485143
"16","X19",15,0.00435238773832057,-1.53140110973312,0.358440083730642
"17","X20",27,0.0161498513166938,-1.54855250661304,0.34364993689047
"18","X21",21,0.0144046937923201,-1.40011476163337,0.352197126913573
"19","X22",21,0.0144060677479038,-1.4617775252542,0.364407943098491
"20","X23",17,0.0129623124183486,-1.15022562667658,0.402916871022658
"21","X24",5,1.86947127192244e-05,-0.717137234699921,0.231716441095108
"22","X26",17,0.00239828773704053,-1.79621827657964,0.331996991634753
"23","X27",30,0.00676137181095341,-1.99872780608193,0.314327337505595
"24","X28",23,0.0189638930066829,-1.46886397808046,0.370236855074899
"25","X29",22,0.0189603926516186,-1.50637368376238,0.376000404506393
"26","X30",21,0.018094754187301,-1.16139856881977,0.397820450279251
"27","X31",17,0.0162260093883609,-1.02677194352243,0.391905203498072
"28","X33",16,0.00332419790797456,-1.83879190716811,0.320600060857361
"29","X34",28,0.00638637224156454,-1.98137636646263,0.309702106693784
"30","X35",20,0.0174078561198864,-1.36001538704661,0.369092197903441
"31","X36",17,0.0154715102609891,-1.0074372809065,0.384826076137502
"32","X37",21,0.0165141202843677,-1.52373641118861,0.362780366865744
"33","X38",21,0.0189346302259961,-1.24725722668949,0.355922286336558
"34","X39",21,0.0187412082952557,-1.26843416706848,0.336517203995469
"35","X40",14,0.00270107804756759,-1.3084402027284,0.316898837574533
"36","X41",8,0.00143781965505209,-0.891431990265163,0.29766162245031
"37","X42",7,0.00143781965505209,-0.572286414639745,0.324915049604496
"38","X43",7,0.00143781965505209,-0.444074388356366,0.324915049604496
"39","X46",27,0.00576364908112073,-2.14439348839094,0.316219874595737
"40","X47",22,0.0128577743830642,-1.58182832481841,0.332428704133734
"41","X48",18,0.0154078160022171,-1.16171946350226,0.352601816524606
"42","X49",19,0.0160144925866986,-1.1479386500764,0.324505668952529
"43","X50",17,0.0121135689701043,-1.33738935662142,0.321020221646498
