"","cell_id","SRic","FRic","SES.FRic","FDis"
"1","X19",6,4.49394756063184e-09,-0.329693272787164,0.0770794197049953
"2","X20",7,8.841056295669e-11,-0.433962105636808,0.0408426922987907
"3","X24",8,5.6324660170181e-08,-0.495600236865434,0.0986051321098767
"4","X26",7,4.91571139429895e-09,-0.488571553412086,0.067825217017858
"5","X27",7,9.31194925582021e-11,-0.378270651131117,0.0411693346118196
"6","X33",7,4.91571139429895e-09,-0.324770041924838,0.067825217017858
"7","X34",8,5.87131198123139e-09,-0.483199761248649,0.0665228911395802
"8","X37",8,5.46279043720981e-10,-0.511796965605127,0.0623765600625252
"9","X38",9,7.64398346647104e-06,-0.582334095497508,0.291960657888052
"10","X39",8,6.99176965486875e-06,-0.44608346087951,0.318237236323215
"11","X40",7,4.06933529535298e-06,-0.478096634217261,0.357758879301388
"12","X41",14,0.000151874663475222,-0.841949913542507,0.291091618612468
"13","X42",16,0.000151906313094325,-0.805026768831186,0.261248541014437
"14","X43",16,0.000235733750489319,-0.929821265644822,0.414326306981698
"15","X46",7,3.44519523485924e-09,-0.36567622711994,0.0683793212562217
"16","X48",5,7.44731042296598e-11,-0.355732420165303,0.0878497131473937
"17","X49",9,1.14973892860776e-08,-0.442674677295436,0.0691032781027511
"18","X50",11,2.6355232375875e-08,-0.686987917287827,0.0743565648584354
"19","X51",11,2.53393735526398e-08,-0.550111239086907,0.0725524031238759
"20","X52",13,1.54232964195836e-05,-0.759142192010173,0.222275993509946
"21","X53",13,0.000151874663475222,-0.731289846347454,0.308397538930355
"22","X54",16,0.000236375017057908,-0.995091573839679,0.41640669468004
"23","X55",17,0.000236391251999791,-0.84091558621098,0.396924102228265
"24","X56",18,0.000236403494333278,-0.768490541095768,0.37888915982964
"25","X57",23,0.00425184249515289,-1.24337753311364,0.355128364965087
"26","X58",8,2.83977059224455e-06,-0.504278838354178,0.288745399035858
"27","X59",7,1.54966369446011e-06,-0.403938692332271,0.319994335534551
"28","X60",7,5.98861501376682e-05,-0.355586476833813,0.539167700551975
"29","X61",12,0.000118459067009375,-0.707939361367944,0.377215596298213
"30","X62",14,0.000264693994695903,-0.824040927048792,0.353215717788425
"31","X63",12,0.000135797188760423,-0.819791799099986,0.378193577670922
"32","X64",17,0.00592888971946198,-0.811561702097738,0.382257669242707
"33","X65",17,0.00592888971946198,-0.827225070089045,0.382257669242707
"34","X66",13,0.000142853092415359,-0.710884471876924,0.353902641773752
"35","X67",10,7.12352735295295e-06,-0.48394956449724,0.280925949050078
"36","X68",8,1.65869554277616e-07,-0.489325394414934,0.110445754776822
"37","X69",6,3.15680598755666e-08,-0.339455451605847,0.11019579373318
"38","X70",14,0.000132891880581252,-0.891855612271615,0.290888396864994
